ID;Vertice;N;E
152;F99-M-0131;8146944,63;676608,47
153;F99-P-1724;8146924,04;676620,22
154;F99-P-1216;8146925,86;676645,10
155;F99-P-1217;8146906,78;676654,56
156;F99-P-1218;8146913,38;676668,06
157;F99-P-1219;8146945,28;676671,37
158;F99-P-1220;8146915,91;676690,80
159;F99-P-1221;8146922,05;676705,43
160;F99-P-1222;8146944,46;676697,84
161;F99-P-1223;8146933,52;676720,21
162;F99-P-1224;8146915,75;676718,48
163;F99-P-1225;8146892,01;676731,45
164;F99-P-1226;8146887,34;676742,86
165;F99-P-1227;8146830,52;676761,99
166;F99-P-1228;8146794,32;676776,23
167;F99-P-1229;8146754,78;676773,10
168;F99-P-1230;8146738,34;676757,57
169;F99-P-1231;8146754,99;676729,99
170;F99-P-1232;8146734,83;676731,96
171;F99-P-1233;8146706,57;676722,40
172;F99-P-1234;8146689,76;676718,87
173;F99-P-1235;8146665,99;676705,69
174;F99-P-1236;8146635,34;676684,87
175;F99-P-1237;8146636,53;676676,87
176;F99-P-1238;8146624,18;676676,39
177;F99-P-1239;8146616,02;676680,85
178;F99-P-1240;8146599,75;676669,31
179;F99-P-1241;8146598,80;676656,12
180;F99-P-1242;8146583,25;676652,15
181;F99-P-1243;8146572,24;676637,13
182;F99-P-1244;8146545,75;676643,03
183;F99-P-1245;8146538,91;676657,08
184;F99-P-1246;8146528,21;676663,63
185;F99-P-1247;8146510,76;676661,68
186;F99-P-1248;8146497,73;676683,08
187;F99-P-1249;8146483,34;676691,52
188;F99-P-1250;8146457,06;676719,14
189;F99-P-1251;8146450,63;676734,38
190;F99-P-1252;8146453,03;676754,94
191;F99-P-1253;8146439,46;676777,49
192;F99-P-1254;8146411,83;676820,63
193;F99-P-1255;8146402,13;676841,11
194;F99-P-1256;8146391,35;676840,42
195;F99-P-1257;8146358,81;676870,76
196;F99-P-1258;8146342,26;676860,67
197;F99-P-1259;8146335,22;676838,89
198;F99-P-1260;8146319,29;676827,80
199;F99-P-1261;8146285,95;676823,27
200;F99-P-1262;8146241,57;676844,29
201;F99-P-1263;8146189,09;676818,30
202;F99-P-1264;8146139,25;676818,94
203;F99-P-1265;8146104,82;676791,65
204;F99-P-1266;8146091,83;676802,61
205;F99-P-1267;8146075,91;676794,41
206;F99-P-1268;8146064,77;676777,53
207;F99-P-1269;8146015,09;676764,73
208;F99-P-1270;8145964,99;676769,41
209;F99-P-1271;8145948,95;676762,99
210;F99-P-1272;8145949,59;676782,53
211;F99-P-1273;8145931,98;676783,90
212;F99-P-1274;8145935,20;676805,49
213;F99-P-1275;8145919,71;676799,11
214;F99-P-1276;8145899,75;676820,84
215;F99-P-1277;8145903,30;676852,08
216;F99-P-1278;8145886,62;676877,88
217;F99-P-1279;8145838,58;676871,65
218;F99-P-1280;8145828,27;676884,38
219;F99-P-1281;8145830,75;676908,45
220;F99-P-1282;8145809,47;676928,38
221;F99-P-1283;8145781,19;676938,35
222;F99-P-1284;8145764,09;676927,91
223;F99-P-1285;8145759,30;676913,50
224;F99-P-1286;8145698,60;676911,46
225;F99-P-1287;8145633,43;676913,67
226;F99-P-1288;8145586,53;676905,06
227;F99-P-1289;8145549,84;676889,58
228;F99-P-1290;8145504,84;676890,38
229;F99-P-1291;8145452,46;676884,13
230;F99-P-1292;8145434,39;676892,56
231;F99-P-1293;8145386,22;676905,35
232;F99-P-1294;8145335,75;676908,40
233;F99-P-1295;8145291,63;676901,53
234;F99-P-1296;8145258,69;676903,00
235;F99-P-1297;8145215,78;676904,81
236;F99-P-1298;8145147,90;676916,24
237;F99-P-1299;8145110,24;676958,30
238;F99-P-1300;8145094,70;677008,00
239;F99-M-0145;8145071,03;677013,71
240;F99-M-0144;8145051,69;676930,81
241;F99-M-0143;8144101,63;676955,91
242;F99-M-1744;8144035,01;676912,66
243;F99-M-1743;8143103,09;675901,45
244;F99-M-1742;8143102,57;675885,72
245;F99-M-1741;8143034,33;675290,53
246;F99-M-0093;8142686,63;674896,71
247;F99-M-0094;8142845,45;674837,61
248;F99-M-0092;8143044,53;674764,77
249;F99-M-0091;8143053,23;674743,41
250;F99-M-0090;8143134,20;674640,59
251;F99-M-0089;8143147,11;674600,03
252;F99-M-0088;8143143,55;674509,60
253;F99-M-0087;8143091,97;674407,17
254;F99-M-1112;8143092,17;674384,93
255;F99-M-0086;8143098,85;674365,96
256;F99-M-1113;8143118,14;674351,58
257;F99-M-0085;8143218,16;674323,93
258;F99-M-0084;8143236,92;674297,71
259;F99-M-0083;8143214,35;674238,00
260;F99-M-0082;8143176,15;674209,11
261;F99-M-0081;8143160,30;674189,23
262;F99-M-1114;8143161,26;674172,27
263;F99-M-0080;8143177,07;674140,02
264;F99-M-0079;8143126,46;674092,19
265;F99-M-0078;8143095,75;674038,57
266;F99-M-1115;8143092,89;674018,35
267;F99-M-0077;8143095,62;673998,48
268;F99-M-0076;8143236,79;673945,61
269;F99-M-0075;8143243,88;673922,78
270;F99-M-0074;8143196,78;673886,73
271;F99-M-0073;8143139,27;673827,21
272;F99-M-0072;8143135,87;673758,56
273;F99-M-0071;8143068,90;673678,67
274;F99-M-0070;8142995,01;673611,87
275;F99-M-0069;8142979,45;673531,17
276;F99-M-0068;8142977,08;673509,77
277;F99-M-0067;8142981,11;673478,97
278;F99-M-0066;8143036,52;673215,95
279;F99-M-0065;8143028,48;673183,67
280;F99-M-0064;8143080,21;673017,84
281;F99-M-0155;8143086,47;673002,34
282;F99-M-0156;8143182,23;673000,27
283;F99-M-0157;8143291,84;673064,00
284;F99-M-0158;8143316,48;673064,56
285;F99-M-0159;8143359,22;673044,82
286;F99-M-0160;8143521,19;673084,73
287;F99-M-0161;8143581,98;673140,32
288;F99-M-0162;8143719,68;673204,14
289;F99-M-0163;8143763,59;673215,37
290;F99-M-0164;8143825,32;673206,33
291;F99-M-0165;8143902,43;673145,31
292;F99-M-0166;8143993,98;673171,69
293;F99-M-0167;8144007,33;673193,23
294;F99-M-0168;8144008,33;673221,48
295;F99-M-0169;8143981,41;673292,28
296;F99-M-0170;8144332,47;673374,67
297;F99-M-0171;8144473,89;673404,77
298;F99-M-0172;8144624,15;673435,45
299;F99-M-0173;8144761,42;673442,27
300;F99-M-0174;8144813,26;673446,76
301;F99-M-0175;8144842,35;673491,99
302;F99-M-0176;8144854,07;673541,20
303;F99-M-0177;8144917,54;673527,54
304;F99-M-0178;8144984,22;673657,47
305;F99-M-0179;8145113,03;673670,51
306;F99-M-0180;8145243,16;673698,78
307;F99-M-0181;8145263,25;673703,00
308;F99-M-0182;8145291,01;673711,77
309;F99-M-0183;8145310,87;673716,13
310;F99-M-0184;8146002,81;673946,20
311;F99-M-0185;8146234,25;674110,52
312;F99-M-0186;8146326,49;674137,79
313;F99-M-0187;8146411,97;674200,89
314;F99-M-0188;8146558,96;674295,93
315;F99-M-0189;8146630,32;674344,67
316;F99-M-0190;8146672,41;674424,84
317;F99-M-0191;8146682,60;674440,63
318;F99-M-0192;8146720,04;674462,22
319;F99-M-0193;8146748,88;674453,04
320;F99-M-0194;8146785,23;674425,31
321;F99-M-0195;8146811,17;674426,67
322;F99-M-0196;8146814,89;674480,54
323;F99-M-0197;8146877,91;674491,42
324;F99-M-0198;8146953,14;674491,04
325;F99-M-0199;8147068,68;674535,43
